OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
154540,156067,FS-383382,FED,FS-FIRESTAT,FS,USCABDF,San Bernardino National Forest,0512,San Bernardino National Forest,86,,4933,LOUISIANA,CA-BDF-5419,LOUISIANA,CA3429011747320020626,LOUISIANA,,2002,2452451.5,177,1615,2.0,Equipment Use,2452459.5,185.0,1800,6559.0,G,34.23611111,-117.43194444,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x00H\xdfJ\xfa\xa4[]\xc0\x10\xd6\x8b\xe38\x1eA@H\xdfJ\xfa\xa4[]\xc0\x10\xd6\x8b\xe38\x1eA@|\x01\x00\x00\x00H\xdfJ\xfa\xa4[]\xc0\x10\xd6\x8b\xe38\x1eA@\xfe'
154588,156115,FS-383449,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,47,,0105,BOUQUET,CA-ANF-1354,BOUQUET,CA3453911843620020511,BOUQUET,,2002,2452405.5,131,1031,9.0,Miscellaneous,2452407.5,133.0,1800,5200.0,G,34.57138889,-118.39777778,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x008\x0b\xef0u\x99]\xc0\x88\xeciE#IA@8\x0b\xef0u\x99]\xc0\x88\xeciE#IA@|\x01\x00\x00\x008\x0b\xef0u\x99]\xc0\x88\xeciE#IA@\xfe'
154627,156154,FS-383520,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,157,,0126,LEONA,CA-ANF-3283,LEONA,CA3458511827520020903,LEONA,,2002,2452520.5,246,1324,7.0,Arson,2452521.5,247.0,1800,5124.0,G,34.58638889,-118.32527778,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x00\xc8\xcd\xe4Y\xd1\x94]\xc0\xe0\xa4\x88\xca\x0eKA@\xc8\xcd\xe4Y\xd1\x94]\xc0\xe0\xa4\x88\xca\x0eKA@|\x01\x00\x00\x00\xc8\xcd\xe4Y\xd1\x94]\xc0\xe0\xa4\x88\xca\x0eKA@\xfe'
154632,156160,FS-383531,FED,FS-FIRESTAT,FS,USCAANF,Angeles National Forest,0501,Angeles National Forest,176,,0135,WILLIAMS,CA-ANF-3518,WILLIAMS/CURVE COMPLEX,CA3419511777720020922,WILLIAMS,WILLIAMS/CURVE COMPLEX,2002,2452539.5,265,1657,7.0,Arson,2452557.5,283.0,1800,37240.0,G,34.23027778,-117.7875,5.0,USFS,CA,,,,b'\x00\x01\xad\x10\x00\x00dffffr]\xc0@\x0c\x07\xbey\x1dA@dffffr]\xc0@\x0c\x07\xbey\x1dA@|\x01\x00\x00\x00dffffr]\xc0@\x0c\x07\xbey\x1dA@\xfe'
155258,156791,FS-384431,FED,FS-FIRESTAT,FS,USCORGF,Rio Grande National Forest,0209,Rio Grande National Forest,12,,3625,MILLION,CO-RGF-473,Million,CO3763510662120020619,MILLION,,2002,2452444.5,170,1250,9.0,Miscellaneous,2452487.5,213.0,1800,9294.0,G,37.62694444,-106.6675,5.0,USFS,CO,105,105,Rio Grande,b'\x00\x01\xad\x10\x00\x00\x1c\x85\xebQ\xb8\xaaZ\xc0\xc8\x1a%\xb7?\xd0B@\x1c\x85\xebQ\xb8\xaaZ\xc0\xc8\x1a%\xb7?\xd0B@|\x01\x00\x00\x00\x1c\x85\xebQ\xb8\xaaZ\xc0\xc8\x1a%\xb7?\xd0B@\xfe'
156520,158074,FS-385756,FED,FS-FIRESTAT,FS,USNMGNF,Gila National Forest,0306,Gila National Forest,139,,4964,SPRUCE,NM-GNF-139,Spruce Complex,NM3330310875120030711,SPRUCE,SPRUCE COMPLEX,2003,2452831.5,192,1930,1.0,Lightning,2452884.5,245.0,1000,5719.0,G,33.30027778,-108.73444444,5.0,USFS,NM,,,,b'\x00\x01\xad\x10\x00\x00\xd8\xa1@#\x01/[\xc0hh\x96\x80o\xa6@@\xd8\xa1@#\x01/[\xc0hh\x96\x80o\xa6@@|\x01\x00\x00\x00\xd8\xa1@#\x01/[\xc0hh\x96\x80o\xa6@@\xfe'
157586,159146,FS-386859,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,807,,5827,SAPP,ID-PAF-071,Sapp,ID4555111522320030809,SAPP (SAPP),SLIMS COMPLEX,2003,2452860.5,221,0800,1.0,Lightning,2452950.5,311.0,1530,9674.0,G,45.56166667,-115.205,5.0,USFS,ID,,,,b'\x00\x01\xad\x10\x00\x00\x84\xebQ\xb8\x1e\xcd\\\xc0\xa8s\x85\xb1\xe4\xc7F@\x84\xebQ\xb8\x1e\xcd\\\xc0\xa8s\x85\xb1\xe4\xc7F@|\x01\x00\x00\x00\x84\xebQ\xb8\x1e\xcd\\\xc0\xa8s\x85\xb1\xe4\xc7F@\xfe'
157662,159222,FS-386940,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,52,,5826,MARBLE,ID-PAF-000063,Marble,ID4514411526520030807,NORTH FORK LICK (MARBLE),,2003,2452858.5,219,1410,1.0,Lightning,2452950.5,311.0,1530,6080.0,G,45.14388889,-115.26027778,5.0,USFS,ID,,,,"b'\x00\x01\xad\x10\x00\x00l>""d\xa8\xd0\\\xc0hg~\xf3j\x92F@l>""d\xa8\xd0\\\xc0hg~\xf3j\x92F@|\x01\x00\x00\x00l>""d\xa8\xd0\\\xc0hg~\xf3j\x92F@\xfe'"
157766,159326,FS-387045,FED,FS-FIRESTAT,FS,USORWWF,Wallowa-Whitman National Forest,0616,Wallowa-Whitman National Forest,75,,7724,TWO CORRAL,OR-WWF-000180,Lightning Complex,OR4558511652920030820,LIGHTNING COMPLEX (TWO CORRAL),LIGHTNING COMPLEX,2003,2452871.5,232,0600,1.0,Lightning,2452879.5,240.0,1800,10504.0,G,45.56638889,-116.56694444,5.0,USFS,OR,,,,b'\x00\x01\xad\x10\x00\x00\xbc\x1cU\xd1H$]\xc0\x18\xaf_n\x7f\xc8F@\xbc\x1cU\xd1H$]\xc0\x18\xaf_n\x7f\xc8F@|\x01\x00\x00\x00\xbc\x1cU\xd1H$]\xc0\x18\xaf_n\x7f\xc8F@\xfe'
158160,159721,FS-387633,FED,FS-FIRESTAT,FS,USMTHNF,Helena National Forest,0112,Helena National Forest,53,,,SNOWBANK,MT-HNF-075,Lincoln Complex,MT4709011261820030813,LINCOLN COMPLEX (SNOWBANK),LINCOLN COMPLEX,2003,2452864.5,225,1114,1.0,Lightning,2452955.5,316.0,0800,37405.0,G,47.08611111,-112.6425,5.0,USFS,MT,,,,b'\x00\x01\xad\x10\x00\x00\x84\xebQ\xb8\x1e)\\\xc0\xe0\xa2X\xb0\x05\x8bG@\x84\xebQ\xb8\x1e)\\\xc0\xe0\xa2X\xb0\x05\x8bG@|\x01\x00\x00\x00\x84\xebQ\xb8\x1e)\\\xc0\xe0\xa2X\xb0\x05\x8bG@\xfe'
